Andorra,AND,94
Afghanistan,AFG,5.9
Angola,AGO,19.1
Albania,ALB,60.1
Andean Region,ANR,
United Arab Emirates,ARE,88
Argentina,ARG,59.9
Armenia,ARM,46.3
American Samoa,ASM,
Antigua and Barbuda,ATG,63.4
Australia,AUS,83
Austria,AUT,80.6188
Azerbaijan,AZE,58.7
Burundi,BDI,1.3
Belgium,BEL,82.1702
Benin,BEN,4.9
Burkina Faso,BFA,4.4
Bangladesh,BGD,6.5
Bulgaria,BGR,53.0615
Bahrain,BHR,90
Bahamas,BHS,72
Bosnia and Herzegovina,BIH,67.9
Belarus,BLR,54.17
Belize,BLZ,31.7
Bermuda,BMU,95.3
Bolivia,BOL,39.5
Brazil,BRA,51.6
Barbados,BRB,75
Brunei,BRN,64.5
Bhutan,BTN,29.9
Botswana,BWA,15
Central African Republic,CAF,3.5
Canada,CAN,85.8
Switzerland,CHE,86.7
Chile,CHL,66.5
China,CHN,45.8
Cote D'Ivoire,CIV,2.6
Cameroon,CMR,6.4
Colombia,COL,51.7
Comoros,COM,6.5
Cape Verde,CPV,37.5
Costa Rica,CRI,45.96
Cuba,CUB,25.7089320853472
Cyprus,CYP,65.4548
Czech Republic,CZE,74.1104
Germany,DEU,83.9614
Djibouti,DJI,9.5
Dominica,DMA,59
Denmark,DNK,94.6297
Dominican Republic,DOM,45.9
Algeria,DZA,16.5
Ecuador,ECU,40.3536842279418
Egypt,EGY,49.56
Spain,ESP,71.5719
Estonia,EST,80.0043
Ethiopia,ETH,1.9
European Union,EUU,75.4976231672564
Finland,FIN,91.5144
Fiji,FJI,37.1
France,FRA,81.9198
Gabon,GAB,9.2
United Kingdom,GBR,89.8441
Georgia,GEO,43.1
Ghana,GHA,12.3
Guinea,GIN,1.6
Gambia,GMB,14
Guinea Bissau,GNB,3.1
Equatorial Guinea,GNQ,16.4
Greece,GRC,59.8663
Grenada,GRD,35
Greenland,GRL,65.8
Guatemala,GTM,19.7
Guyana,GUY,33
Honduras,HND,17.8
Croatia,HRV,66.7476
Haiti,HTI,10.6
Hungary,HUN,72.6439
Indonesia,IDN,15.82
India,IND,15.1
Ireland,IRL,78.2477
Iran,IRN,31.4
Iraq,IRQ,9.2
Iceland,ISL,96.5468
Israel,ISR,70.8
Italy,ITA,58.4593
Jamaica,JAM,37.8
Jordan,JOR,44.2
Japan,JPN,86.25
Kazakhstan,KAZ,54
Kenya,KEN,39
Kyrgyz Republic,KGZ,23.4
Cambodia,KHM,6
South Korea,KOR,84.77
Kosovo,KSV,
Kuwait,KWT,75.46
Laos,LAO,12.5
Lebanon,LBN,70.5
Liberia,LBR,4.6
Libya,LBY,16.5
Liechtenstein,LIE,93.8
Sri Lanka,LKA,21.9
Lesotho,LSO,5
Lithuania,LTU,68.4529
Luxembourg,LUX,93.7765
Latvia,LVA,75.2344
Morocco,MAR,56
Mexico and Central America,MCA,
Monaco,MCO,90.7
Moldova,MDA,48.8
Madagascar,MDG,2.2
Maldives,MDV,44.1
Mexico,MEX,43.46
Marshall Islands,MHL,11.7
Macedonia,MKD,61.2
Mali,MLI,2.3
Malta,MLT,68.9138
Myanmar,MMR,1.2
Montenegro,MNE,56.8
Mongolia,MNG,17.7
Mozambique,MOZ,5.4
Mauritania,MRT,6.2
Mauritius,MUS,39
Malawi,MWI,5.4
Malaysia,MYS,66.97
Namibia,NAM,13.9
Niger,NER,1.7
Nigeria,NGA,38
Nicaragua,NIC,15.5
Netherlands,NLD,93.9564
Norway,NOR,95.0534
Nepal,NPL,13.3
New Zealand,NZL,82.78
Oman,OMN,66.45
Pakistan,PAK,10.9
Panama,PAN,42.9
Peru,PER,39.2
Philippines,PHL,37
Papua New Guinea,PNG,6.5
Poland,POL,62.8492
Puerto Rico,PRI,73.9
North Korea,PRK,
Portugal,PRT,62.0956
Paraguay,PRY,36.9
Qatar,QAT,85.3
Romania,ROU,49.7645
Russia,RUS,61.4
Rwanda,RWA,8.7
Saudi Arabia,SAU,60.5
Sudan,SDN,22.7
Senegal,SEN,20.9
Singapore,SGP,73
Sierra Leone,SLE,1.7
El Salvador,SLV,23.1093
San Marino,SMR,50.8
Somalia,SOM,1.5
Serbia,SRB,51.5
South Sudan,SSD,
Slovakia,SVK,77.8826
Slovenia,SVN,72.6756
Sweden,SWE,94.7836
Swaziland,SWZ,24.7
Syria,SYR,26.2
Chad,TCD,2.3
Togo,TGO,4.5
Thailand,THA,28.94
Tajikistan,TJK,16
Turkmenistan,TKM,9.6
Tonga,TON,35
Trinidad and Tobago,TTO,63.8
Tunisia,TUN,43.8
Turkey,TUR,46.25
Tuvalu,TUV,37
Tanzania,TZA,4.4
Uganda,UGA,16.2
Ukraine,UKR,41.8
Uruguay,URY,58.1
United States,USA,84.2
Uzbekistan,UZB,38.2
Venezuela,VEN,54.9
Vietnam,VNM,43.9
Vanuatu,VUT,11.3
Samoa,WSM,15.3
Yemen,YEM,20
South Africa,ZAF,48.9
Congo DR,COD,2.2
Zambia,ZMB,15.4
Zimbabwe,ZWE,18.5