Country Budget,Main Battle Tank,Aircraft Carriers,AWS,Cr,Destroyers,Frigate,Corvette,Patrol Boat,Nuclear Submarine,Submarine,Combat Aircraft,Attack Helicopter,Nuclear Weapons
United States,682,8725,10,30,22,62,26,2,0,71,2,3318,6417,7700
China,166,9000,1,27,0,20,28,10,0,8,35,1500,150,240
Russia,93.76,22710,1,15,5,14,5,70,0,33,17,1900,1655,8500
United Kingdom,62.7,384,3,7,0,6,13,4,11,11,0,222,153,225
France,62.5,406,1,5,0,0,23,15,0,10,0,306,36,300
Japan,51.4,902,0,6,0,10,36,24,0,0,16,374,0,0
Germany,49,2500,0,0,0,3,15,2,0,0,4,423,80,0
India,42.84,5978,2,15,0,9,15,25,46,2,13,1080,140,95
South Korea,41.1,2429,0,18,0,12,9,28,83,0,18,458,0,0
Saudi Arabia,39.2,1055,0,0,0,0,7,4,0,0,0,287,0,0
Italy,38.2,320,2,3,0,4,12,8,0,0,6,320,60,0
Brazil,27,581,1,5,0,0,9,5,35,0,7,223,13,0
Australia,26.9,59,0,6,0,3,12,0,20,0,6,96,22,0
Spain,25.5,552,1,2,0,0,0,10,0,0,4,151,00,
Turkey,25,3763,0,34,0,0,25,9,33,0,13,465,36,0
Canada,21,235,0,0,0,3,12,5,12,0,1,100,0,0
Taiwan,19.2,1,926,0,0,4,21,0,0,0,4,360,0,0
Iraq,17.9,357,0,0,0,0,0,0,20,0,0,15,30,0
Israel,16,1,680,0,0,0,0,0,3,50,0,6,420,80,50
Netherlands,12.6,144,0,3,0,0,6,4,0,0,4,113,29,0
Thailand,12.2,740,1,6,0,0,12,5,209,0,0,543,154,0
Poland,12,990,0,5,0,0,2,6,0,0,5,112,61,0
Afghanistan,11.5,600,0,0,0,0,0,0,0,0,0,0,65,0
Greece,10.39,1268,0,15,0,0,20,0,6,0,11,308,29,0
Mexico,10.07,567,0,0,0,2,6,7,0,0,0,58,0,0
Iran,10,2895,0,25,0,0,5,2,127,0,28,407,100,0
Indonesia,8.01,0,0,4,0,0,7,26,30,0,2,69,50,0
Singapore,7.87,100,0,0,0,0,6,6,0,0,4,119,28,0
Pakistan,7.8,4000,0,0,0,4,14,8,28,0,8,502,73,95